0	-8,4502				
0,4	-8,4452			2097,5	
0,8	-8,4407				
1,2	-8,4365				
1,6	-8,4327				
2	-8,4291				
2,4	-8,4256				
2,8	-8,4225				
3,2	-8,4196				
3,6	-8,417				
4	-8,4147				
4,4	-8,4125				
4,8	-8,4106				
5,2	-8,4088				
5,6	-8,4072				
6	-8,4057				
6,4	-8,4044				
6,8	-8,4031				
7,2	-8,4019				
7,6	-8,4008			0,000169666	-7,589599208
8	-8,3998			3,02645E-06	0,002714196
8,4	-8,3989				
8,8	-8,3981		y1=	-8,2173	
9,2	-8,3974		y2=	-7,527908767	
9,6	-8,3967		погр=	0,001513224	
10	-8,3962		делт	0,689391233	
10,4	-8,3956				
10,8	-8,3951				
11,2	-8,3946				
11,6	-8,3941				
12	-8,3936				
12,4	-8,3932				
12,8	-8,3928				
13,2	-8,3924				
13,6	-8,3921				
14	-8,3918				
14,4	-8,3915				
14,8	-8,3913				
15,2	-8,391				
15,6	-8,3908				
16	-8,3906				
16,4	-8,3903				
16,8	-8,3901				
17,2	-8,3899				
17,6	-8,3898				
18	-8,3896				
18,4	-8,3894				
18,8	-8,3892				
19,2	-8,3891				
19,6	-8,3889				
20	-8,3888				
20,4	-8,3887				
20,8	-8,3885				
21,2	-8,3884				
21,6	-8,3883				
22	-8,3882				
22,4	-8,3881				
22,8	-8,388				
23,2	-8,3879				
23,6	-8,3878				
24	-8,3877				
24,4	-8,3876				
24,8	-8,3875				
25,2	-8,3874				
25,6	-8,3873				
26	-8,3872				
26,4	-8,3871				
26,8	-8,387				
27,2	-8,3869				
27,6	-8,3869				
28	-8,3868				
28,4	-8,3868				
28,8	-8,3867				
29,2	-8,3866				
29,6	-8,3865				
30	-8,3864				
30,4	-8,3864				
30,8	-8,3863				
31,2	-8,3862				
31,6	-8,3862				
32	-8,3861				
32,4	-8,3861				
32,8	-8,386				
33,2	-8,386				
33,6	-8,3859				
34	-8,3859				
34,4	-8,3859				
34,8	-8,3862				
35,2	-8,3864				
35,6	-8,387				
36	-8,3873				
36,4	-8,3875				
36,8	-8,3878				
37,2	-8,388				
37,6	-8,3884				
38	-8,3884				
38,4	-8,3886				
38,8	-8,3889				
39,2	-8,389				
39,6	-8,3891				
40	-8,3892				
40,4	-8,3895				
40,8	-8,39				
41,2	-8,3898				
41,6	-8,3894				
42	-8,3892				
42,4	-8,3889				
42,8	-8,3887				
43,2	-8,3892				
43,6	-8,3886				
44	-8,3888				
44,4	-8,3902				
44,8	-8,3869				
45,2	-8,3907				
45,6	-8,3817				
46	-8,3849				
46,4	-8,3863				
46,8	-8,3871				
47,2	-8,3869				
47,6	-8,3865				
48	-8,3861				
48,4	-8,3865				
48,8	-8,3841				
49,2	-8,3865				
49,6	-8,3865				
50	-8,3857				
50,4	-8,3857				
50,8	-8,3887				
51,2	-8,3889				
51,6	-8,3867				
52	-8,3866				
52,4	-8,3866				
52,8	-8,3865				
53,2	-8,3867				
53,6	-8,3871				
54	-8,3871				
54,4	-8,387				
54,8	-8,387				
55,2	-8,3871				
55,6	-8,386				
56	-8,3859				
56,4	-8,3858				
56,8	-8,3856				
57,2	-8,3852				
57,6	-8,3853				
58	-8,3853				
58,4	-8,3853				
58,8	-8,3846				
59,2	-8,3848				
59,6	-8,3845				
60	-8,3841				
60,4	-8,3839				
60,8	-8,3837				
61,2	-8,3839				
61,6	-8,3838				
62	-8,3835				
62,4	-8,3832				
62,8	-8,3832				
63,2	-8,3832				
63,6	-8,3833				
64	-8,383				
64,4	-8,3829				
64,8	-8,3828				
65,2	-8,3827				
65,6	-8,3826				
66	-8,3823				
66,4	-8,3822				
66,8	-8,3817				
67,2	-8,3817				
67,6	-8,3811				
68	-8,3811				
68,4	-8,3798				
68,8	-8,3806				
69,2	-8,3807				
69,6	-8,3808				
70	-8,3805				
70,4	-8,3802				
70,8	-8,3802				
71,2	-8,3791				
71,6	-8,3795				
72	-8,3799				
72,4	-8,3807				
72,8	-8,3796				
73,2	-8,3792				
73,6	-8,3782				
74	-8,3783				
74,4	-8,3775				
74,8	-8,378				
75,2	-8,3776				
75,6	-8,3776				
76	-8,3774				
76,4	-8,3779				
76,8	-8,378				
77,2	-8,3778				
77,6	-8,3773				
78	-8,3771				
78,4	-8,3775				
78,8	-8,3776				
79,2	-8,3778				
79,6	-8,3773				
80	-8,377				
80,4	-8,3767				
80,8	-8,3775				
81,2	-8,3716				
81,6	-8,3751				
82	-8,375				
82,4	-8,3745				
82,8	-8,3744				
83,2	-8,3743				
83,6	-8,3732				
